Date,Q
7/07/78,16.3226
8/07/78,6.96609
9/07/78,4.34536
10/07/78,3.17492
11/07/78,6.03896
12/07/78,4.91898
13/07/78,4.26474
14/07/78,3.48174
15/07/78,2.83933
16/07/78,2.37693
17/07/78,2.23416
18/07/78,3.26076
19/07/78,80.649
20/07/78,12.5199
21/07/78,7.17576
22/07/78,4.86794
23/07/78,12.0701
24/07/78,16.6063
25/07/78,8.42044
26/07/78,5.63963
27/07/78,28.2834
28/07/78,23.6605
29/07/78,13.197
30/07/78,8.22759
31/07/78,5.7275
1/08/78,4.70873
2/08/78,4.10756
3/08/78,3.61514
4/08/78,3.20015
5/08/78,3.04935
6/08/78,5.94732
7/08/78,103.156
8/08/78,47.7485
9/08/78,32.1204
10/08/78,28.0732
11/08/78,15.8215
12/08/78,29.1943
13/08/78,26.0704
14/08/78,12.7641
15/08/78,8.94998
16/08/78,7.44894
17/08/78,6.23993
18/08/78,7.5023
19/08/78,20.3432
20/08/78,11.9364
21/08/78,9.66164
22/08/78,11.1867
23/08/78,10.0456
24/08/78,6.32867
25/08/78,5.36529
26/08/78,4.84967
27/08/78,4.40887
28/08/78,3.94052
29/08/78,3.56613
30/08/78,3.32746
31/08/78,3.10445
1/09/78,2.88965
2/09/78,2.68221
3/09/78,4.55938
4/09/78,17.2707
5/09/78,9.88233
6/09/78,9.89538
7/09/78,6.7831
8/09/78,5.27423
9/09/78,4.74701
10/09/78,4.41235
11/09/78,3.91558
12/09/78,3.55453
13/09/78,6.21876
14/09/78,7.43038
15/09/78,5.48129
16/09/78,4.59534
17/09/78,4.02317
18/09/78,16.9769
19/09/78,13.262
20/09/78,7.35179
21/09/78,5.31831
22/09/78,15.9561
23/09/78,54.3489
24/09/78,15.4616
25/09/78,9.34409
26/09/78,7.42893
27/09/78,8.79309
28/09/78,9.56594
29/09/78,6.20078
30/09/78,4.94015
1/10/78,4.33231
2/10/78,3.79465
3/10/78,3.4423
4/10/78,3.21552
5/10/78,2.99773
6/10/78,2.78922
7/10/78,2.58961
8/10/78,2.33633
9/10/78,2.14812
10/10/78,1.88799
11/10/78,1.65083
12/10/78,1.37263
13/10/78,1.90414
14/10/78,2.23372
15/10/78,1.99163
16/10/78,1.90199
17/10/78,1.96237
18/10/78,1.70885
19/10/78,1.63992
20/10/78,1.58183
21/10/78,1.58627
22/10/78,1.35624
23/10/78,1.28586
24/10/78,1.10235
25/10/78,1.1105
26/10/78,1.10893
27/10/78,1.12401
28/10/78,1.19416
29/10/78,1.12665
30/10/78,1.02979
31/10/78,1.07071
1/11/78,1.0364
2/11/78,1.05482
3/11/78,0.979214
4/11/78,1.02303
5/11/78,0.841
6/11/78,0.710297
7/11/78,0.658474
8/11/78,0.798022
9/11/78,0.881426
10/11/78,0.888183
11/11/78,0.870725
12/11/78,0.842711
13/11/78,0.798979
14/11/78,0.756407
15/11/78,0.715256
16/11/78,0.675468
17/11/78,0.635332
18/11/78,0.679702
19/11/78,5.33194
20/11/78,2.5587
21/11/78,1.5903
22/11/78,1.3126
23/11/78,1.15492
24/11/78,1.0092
25/11/78,0.878062
26/11/78,0.760351
27/11/78,0.634723
28/11/78,0.636115
29/11/78,0.601866
30/11/78,0.604563
1/12/78,0.636202
2/12/78,0.556887
3/12/78,0.592122
4/12/78,0.845698
5/12/78,2.56644
6/12/78,2.23906
7/12/78,1.4687
8/12/78,1.19851
9/12/78,1.05435
10/12/78,0.923099
11/12/78,0.841522
12/12/78,0.777867
13/12/78,0.730307
14/12/78,0.716184
15/12/78,0.677179
16/12/78,0.646642
17/12/78,0.669407
18/12/78,0.545171
19/12/78,0.643974
20/12/78,0.682283
21/12/78,0.604331
22/12/78,0.566109
23/12/78,0.505818
24/12/78,0.454546
25/12/78,0.441322
26/12/78,0.433753
27/12/78,0.411568
28/12/78,0.379726
29/12/78,0.406435
30/12/78,0.375956
31/12/78,0.283588
1/01/79,0.20026
2/01/79,0.163058
3/01/79,0.449848
4/01/79,0.519274
5/01/79,0.449529
6/01/79,0.450602
7/01/79,0.435377
8/01/79,0.404724
9/01/79,0.421225
10/01/79,0.433202
11/01/79,0.428272
12/01/79,0.423052
13/01/79,0.410698
14/01/79,0.362297
15/01/79,0.259324
16/01/79,0.195878
17/01/79,0.431839
18/01/79,0.465392
19/01/79,0.382742
20/01/79,0.513184
21/01/79,0.476267
22/01/79,0.400519
23/01/79,0.420094
24/01/79,0.337038
25/01/79,0.363486
26/01/79,0.394632
27/01/79,0.300556
28/01/79,0.2486
29/01/79,0.188021
30/01/79,0.131312
31/01/79,0.0971732
1/02/79,0.213655
2/02/79,0.265394
3/02/79,0.250519
4/02/79,0.246123
5/02/79,0.234129
6/02/79,0.223288
7/02/79,0.197594
8/02/79,0.17297
9/02/79,0.147581
10/02/79,0.128922
11/02/79,0.138385
12/02/79,0.121113
13/02/79,0.0772937
14/02/79,0.112163
15/02/79,0.251827
16/02/79,0.234564
17/02/79,0.176738
18/02/79,0.165741
19/02/79,0.218767
20/02/79,0.281042
21/02/79,0.35293
22/02/79,0.403361
23/02/79,0.470815
24/02/79,0.658996
25/02/79,0.576955
26/02/79,0.571735
27/02/79,0.551406
28/02/79,0.453531
1/03/79,0.427402
2/03/79,0.722651
3/03/79,0.58638
4/03/79,0.63684
5/03/79,0.654646
6/03/79,0.700263
7/03/79,0.711051
8/03/79,0.638058
9/03/79,0.641915
10/03/79,0.763744
11/03/79,0.676802
12/03/79,0.61219
13/03/79,0.563731
14/03/79,0.569589
15/03/79,0.553523
16/03/79,0.540212
17/03/79,0.532237
18/03/79,0.545925
19/03/79,0.552131
20/03/79,0.531773
21/03/79,0.502512
22/03/79,0.477427
23/03/79,0.462028
24/03/79,0.724449
25/03/79,0.601779
26/03/79,0.586409
27/03/79,0.564456
28/03/79,0.509501
29/03/79,0.522696
30/03/79,0.567994
31/03/79,0.614713
1/04/79,0.632809
2/04/79,0.649136
3/04/79,0.826326
4/04/79,0.903901
5/04/79,0.829951
6/04/79,0.949779
7/04/79,0.884152
8/04/79,0.797529
9/04/79,0.828443
10/04/79,0.833866
11/04/79,0.822005
12/04/79,0.794049
13/04/79,0.769689
14/04/79,0.758118
15/04/79,0.730655
16/04/79,0.686401
17/04/79,0.980838
18/04/79,1.39867
19/04/79,1.14292
20/04/79,0.99035
21/04/79,0.883485
22/04/79,1.37063
23/04/79,1.11012
24/04/79,0.959291
25/04/79,0.886269
26/04/79,0.95062
27/04/79,1.08736
28/04/79,1.0293
29/04/79,0.894911
30/04/79,0.861822
1/05/79,0.870203
2/05/79,0.90538
3/05/79,0.955985
4/05/79,1.10539
5/05/79,1.00198
6/05/79,0.95758
7/05/79,0.930349
8/05/79,0.921533
9/05/79,0.912775
10/05/79,0.904075
11/05/79,0.895433
12/05/79,0.88682
13/05/79,0.878294
14/05/79,0.869797
15/05/79,0.861329
16/05/79,0.852948
17/05/79,0.844596
18/05/79,0.784798
19/05/79,0.755682
20/05/79,0.821889
21/05/79,0.990524
22/05/79,0.839434
23/05/79,1.75189
24/05/79,1.26878
25/05/79,1.06882
26/05/79,1.34096
27/05/79,3.86773
28/05/79,3.16013
29/05/79,3.18536
30/05/79,4.08697
31/05/79,1.93775
1/06/79,1.45363
2/06/79,1.18366
3/06/79,1.06961
4/06/79,0.982404
5/06/79,0.932292
6/06/79,0.898768
7/06/79,0.871044
8/06/79,0.89291
9/06/79,1.85458
10/06/79,1.33095
11/06/79,1.15611
12/06/79,1.104
13/06/79,1.03814
14/06/79,0.974661
15/06/79,1.19352
16/06/79,1.34369
17/06/79,1.30877
18/06/79,1.23212
19/06/79,1.15826
20/06/79,1.08709
21/06/79,1.01863
22/06/79,0.953926
23/06/79,0.907903
24/06/79,0.868057
25/06/79,0.869159
26/06/79,0.942616
27/06/79,1.02097
28/06/79,1.10313
29/06/79,1.15823
30/06/79,1.16954
1/07/79,1.87395
2/07/79,4.76296
3/07/79,5.44504
4/07/79,3.47159
5/07/79,2.43206
6/07/79,3.33239
7/07/79,2.53605
8/07/79,2.00671
9/07/79,2.13617
10/07/79,2.95713
11/07/79,3.47913
12/07/79,2.5134
13/07/79,2.13576
14/07/79,1.98505
15/07/79,1.80743
16/07/79,1.63969
17/07/79,1.48808
18/07/79,1.43208
19/07/79,1.40415
20/07/79,1.37651
21/07/79,6.62476
22/07/79,97.1645
23/07/79,26.3024
24/07/79,12.4103
25/07/79,6.699
26/07/79,4.81777
27/07/79,4.49181
28/07/79,4.08146
29/07/79,3.25844
30/07/79,2.84986
31/07/79,3.10097
1/08/79,5.20289
2/08/79,4.08175
3/08/79,3.52263
4/08/79,3.03572
5/08/79,2.67673
6/08/79,9.08831
7/08/79,6.37333
8/08/79,4.12554
9/08/79,83.9869
10/08/79,56.463
11/08/79,65.4124
12/08/79,72.9959
13/08/79,67.9035
14/08/79,29.2059
15/08/79,14.9808
16/08/79,9.60161
17/08/79,7.17199
18/08/79,6.20194
19/08/79,25.9538
20/08/79,18.6264
21/08/79,9.95048
22/08/79,6.99567
23/08/79,5.71416
24/08/79,5.33078
25/08/79,4.8198
26/08/79,14.375
27/08/79,141.7
28/08/79,41.3424
29/08/79,19.0823
30/08/79,12.4155
31/08/79,9.53926
1/09/79,8.03474
2/09/79,6.42756
3/09/79,8.46191
4/09/79,55.2189
5/09/79,182.926
6/09/79,186.105
7/09/79,183.396
8/09/79,211.451
9/09/79,67.6947
10/09/79,52.5625
11/09/79,40.9364
12/09/79,322.886
13/09/79,156.603
14/09/79,116.98
15/09/79,39.8692
16/09/79,21.0027
17/09/79,13.6883
18/09/79,10.1578
19/09/79,8.43378
20/09/79,7.24913
21/09/79,6.16598
22/09/79,5.27278
23/09/79,4.57069
24/09/79,3.95734
25/09/79,6.33012
26/09/79,7.42951
27/09/79,4.8459
28/09/79,7.56436
29/09/79,17.5006
30/09/79,53.766
1/10/79,18.2462
2/10/79,10.0665
3/10/79,8.11594
4/10/79,14.9689
5/10/79,7.50462
6/10/79,45.0921
7/10/79,76.4179
8/10/79,26.6661
9/10/79,13.6692
10/10/79,37.1432
11/10/79,92.3476
12/10/79,281.964
13/10/79,179.098
14/10/79,45.6924
15/10/79,26.9155
16/10/79,19.0286
17/10/79,12.0559
18/10/79,8.73596
19/10/79,6.36811
20/10/79,5.01671
21/10/79,4.2282
22/10/79,3.56033
23/10/79,3.57628
24/10/79,3.64965
25/10/79,3.23002
26/10/79,2.77167
27/10/79,2.3927
28/10/79,2.1545
29/10/79,2.22645
30/10/79,2.0891
31/10/79,1.98711
1/11/79,1.74629
2/11/79,1.57772
3/11/79,1.49953
4/11/79,1.4219
5/11/79,1.23613
6/11/79,1.14826
7/11/79,1.0951
8/11/79,1.09753
9/11/79,1.08063
10/11/79,1.08402
11/11/79,1.06233
12/11/79,0.992873
13/11/79,1.07007
14/11/79,1.05807
15/11/79,5.84321
16/11/79,5.85075
17/11/79,2.96148
18/11/79,1.87453
19/11/79,1.5484
20/11/79,1.47474
21/11/79,1.40833
22/11/79,1.34038
23/11/79,1.27446
24/11/79,1.21049
25/11/79,1.14852
26/11/79,1.08846
27/11/79,1.03034
28/11/79,0.974139
29/11/79,0.893925
30/11/79,0.805446
1/12/79,0.738108
2/12/79,0.659257
3/12/79,0.728799
4/12/79,0.556481
5/12/79,0.584495
6/12/79,0.639885
7/12/79,0.544011
8/12/79,0.534238
9/12/79,0.559468
10/12/79,0.597429
11/12/79,0.63887
12/12/79,0.637681
13/12/79,0.948561
14/12/79,0.948213
15/12/79,0.861764
16/12/79,0.783783
17/12/79,0.74559
18/12/79,0.718446
19/12/79,0.691882
20/12/79,0.665927
21/12/79,0.640552
22/12/79,0.615757
23/12/79,0.61132
24/12/79,0.63945
25/12/79,0.609493
26/12/79,0.573649
27/12/79,0.55535
28/12/79,0.555727
29/12/79,0.707107
30/12/79,0.754319
31/12/79,0.891083
1/01/80,1.00224
2/01/80,1.00096
3/01/80,0.919822
4/01/80,0.867941
5/01/80,0.817916
6/01/80,0.748954
7/01/80,0.665173
8/01/80,0.628198
9/01/80,0.621702
10/01/80,0.64119
11/01/80,0.650934
12/01/80,0.614394
13/01/80,0.590382
14/01/80,0.585655
15/01/80,0.581856
16/01/80,0.586003
17/01/80,0.574084
18/01/80,0.549057
19/01/80,0.526234
20/01/80,0.505151
21/01/80,0.484561
22/01/80,0.465247
23/01/80,0.413192
24/01/80,0.452516
25/01/80,0.552508
26/01/80,0.515533
27/01/80,0.462492
28/01/80,0.527249
29/01/80,0.563586
30/01/80,0.493
31/01/80,0.497495
1/02/80,0.489085
2/02/80,0.48053
3/02/80,0.455039
4/02/80,0.454285
5/02/80,0.53128
6/02/80,0.474788
7/02/80,0.441177
8/02/80,0.468959
9/02/80,0.385381
10/02/80,0.424067
11/02/80,0.387759
12/02/80,0.404318
13/02/80,0.378247
14/02/80,0.444193
15/02/80,0.428736
16/02/80,0.41673
17/02/80,0.430012
18/02/80,0.390427
19/02/80,0.29493
20/02/80,0.310184
21/02/80,0.315665
22/02/80,0.419543
