"Date","Decade","Station","Flow","Rain","MaxT","gridRain"
1970-08-27,"70_80","COTT",14.1607638461538,0,97.4,37.9667353630066
1970-09-03,"70_80","COTT",36.9906307692308,0,81.2,59.5906523019075
1970-09-10,"70_80","COTT",14.8029,0,112.1,15.8971103429794
1970-09-17,"70_80","COTT",14.9123,0,91,30.7224255679175
1970-09-24,"70_80","COTT",20.9740846153846,0,97.2,60.3260123729706
1970-10-01,"70_80","COTT",52.8931,0,89.9,72.8251574933529
1970-10-08,"70_80","COTT",28.9053,0,175.1,4.96076107025146
1970-10-15,"70_80","COTT",18.1249,0,126,21.2223048508167
1970-10-22,"70_80","COTT",11.946,0,145.3,26.5449558496475
1970-10-29,"70_80","COTT",9.5147,0,130.8,7.18294614553452
1970-11-05,"70_80","COTT",7.26694615384615,0,123.5,3.10303473472595
1970-11-12,"70_80","COTT",7.45521538461538,0,156.7,35.5866684913635
1970-11-19,"70_80","COTT",23.5938,0,140,74.1671557128429
1970-11-26,"70_80","COTT",16.3555,0,149.2,3.55645358562469
1970-12-03,"70_80","COTT",14.3875,0,186.3,33.1258614063263
1970-12-10,"70_80","COTT",9.1203,0,163,30.3770776093006
1970-12-17,"70_80","COTT",25.5317,0,178.7,43.8024206161499
1970-12-24,"70_80","COTT",12.4689,0,199.9,17.908531665802
1970-12-31,"70_80","COTT",7.9037,0,165.3,19.3113565444946
1971-01-07,"70_80","COTT",1.0734,0,21.3,0
1971-01-08,"70_80","COTT",6.47084615384615,0,179.6,14.5741281509399
1971-01-15,"70_80","COTT",4.22496,0,223.8,12.7713413238525
1971-01-22,"70_80","COTT",4.60072,0,173,20.3291807770729
1971-01-29,"70_80","COTT",4.94236,0,198.1,51.8632899522781
1971-02-05,"70_80","COTT",7.00485923076923,0,169.2,44.1503295898438
1971-02-12,"70_80","COTT",38.0993,0,175.8,138.02772808075
1971-02-19,"70_80","COTT",30.6272307692308,0,183.4,0
1971-02-26,"70_80","COTT",11.4557,0,174.3,8.44868904352188
1971-03-05,"70_80","COTT",7.5952,0,168.6,3.96943333745003
1971-03-12,"70_80","COTT",6.26756923076923,0,158.3,4.34646786376834
1971-03-19,"70_80","COTT",5.39538076923077,0,178.3,2.7904806137085
1971-03-26,"70_80","COTT",4.9873,0,174.3,19.2355138212442
1971-04-02,"70_80","COTT",4.69372230769231,0,151.4,11.817554473877
1971-04-09,"70_80","COTT",3.85197,0,173.6,0
1971-04-16,"70_80","COTT",3.52875,0,171.4,3.51776099205017
1971-04-23,"70_80","COTT",3.94533,0,131.2,26.2690727710724
1971-04-30,"70_80","COTT",4.03045,0,139.5,23.9898686408997
1971-05-07,"70_80","COTT",8.03802,0,104.7,55.6767739057541
1971-05-14,"70_80","COTT",6.77539230769231,0,112.2,0.49703061580658
1971-05-21,"70_80","COTT",5.53130923076923,0,111.1,0.105820588767529
1971-05-28,"70_80","COTT",5.12569,0,115.7,0.498441234230995
1971-06-04,"70_80","COTT",6.78467076923077,0,83.4,32.4494281411171
1971-06-11,"70_80","COTT",4.92963230769231,0,98,0.775247275829315
1971-06-18,"70_80","COTT",4.13162,0,93.8,0.917770564556122
1971-06-25,"70_80","COTT",3.88071,0,83.7,3.12824857234955
1971-07-02,"70_80","COTT",3.77212,0,78.3,6.22086301445961
1971-07-09,"70_80","COTT",3.4648,0,88.7,0
1971-07-16,"70_80","COTT",3.19333,0,83.8,7.9344397187233
1971-07-23,"70_80","COTT",4.28260923076923,0,82.7,16.2436068207026
1971-07-30,"70_80","COTT",3.43367,0,78.8,3.07925686240196
1971-08-06,"70_80","COTT",3.32926,0,88.9,6.04118219390512
1971-08-13,"70_80","COTT",3.16535,0,83.7,8.40815657377243
1971-08-20,"70_80","COTT",3.19104,0,82,2.49303770065308
1971-08-27,"70_80","COTT",5.34896307692308,0,84.8,37.2505992650986
1971-09-03,"70_80","COTT",11.9994615384615,0,81.6,45.9676268398762
1971-09-10,"70_80","COTT",8.7204,0,115.9,0.0193909145891666
1971-09-17,"70_80","COTT",9.8906,0,103.9,37.5375773906708
1971-09-24,"70_80","COTT",10.9317,0,122.3,18.7952792644501
1971-10-01,"70_80","COTT",11.9801,0,120.7,24.6236423254013
1971-10-08,"70_80","COTT",13.9892,0,136.3,32.3884865045547
1971-10-15,"70_80","COTT",10.5773,0,145.1,0.138138100504875
1971-10-22,"70_80","COTT",7.98320769230769,0,133,9.05212360620499
1971-10-29,"70_80","COTT",8.28936153846154,0,138.3,34.495667219162
1971-11-05,"70_80","COTT",6.17628461538462,0,165.9,2.2271448969841
